Location,Category of Production,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
"Illinois","Other renewables",1632.67,1731.5,2259.73,1864.62,1664.78,1171.83,795.66,909.02,1541.59,1641.91,2354.4,2442.94
"Illinois","Conventional hydroelectric",12.37,9.19,10.78,11.71,11.07,11.18,10.51,12.11,9.02,9.78,9.59,11.26
"Illinois","Nuclear",8801.34,7734.83,7491.22,7369.88,8562.51,8349.02,8644.84,8589.38,7682.96,6990.37,7894.75,8883.35
"Illinois","Utility-scale photovoltaic",7.17,11.54,22.59,28.6,31.53,37.45,58.58,76.26,77.61,47.9,61.94,51.95
"Illinois","All utility-scale solar",7.17,11.54,22.59,28.6,31.53,37.45,58.58,76.26,77.61,47.9,61.94,51.95
"Illinois","All solar",41.26,57.3,95.12,111.52,125.41,138.52,166.42,180.76,168.25,118.32,122.79,112.24
"Illinois","Wind",1590.33,1690.38,2205.62,1806.45,1601.42,1104.03,705.93,803.91,1434.49,1565.06,2265.84,2359.62
"Indiana","All fuels",8931.83,9684.6,6851.28,6139.07,6834.91,8761.38,9444.92,10037.58,7592.28,6635.41,5997.26,7254.28
"Indiana","Other renewables",733.3,802.81,1003.25,804.71,661.04,680.49,391.11,390.21,800.63,687.12,892.14,1011.94
"Indiana","Conventional hydroelectric",38.12,30.25,33.45,34.52,32.38,31.52,30.91,33.28,28.52,30.73,30.1,33.25
"Indiana","Utility-scale photovoltaic",12.73,21.87,47.78,56.32,64.86,65.78,59.39,58.94,66.46,38.42,28.33,51.88
"Indiana","All utility-scale solar",12.73,21.87,47.78,56.32,64.86,65.78,59.39,58.94,66.46,38.42,28.33,51.88
"Indiana","All solar",22.38,34.33,65.75,76.49,87.05,89.32,84.49,83.1,88.44,56.13,41.03,62.53
"Indiana","Wind",679.94,746.2,917.5,712.2,558.36,579.9,295.12,296.7,699.32,615.24,833.15,923.35
"Iowa","All fuels",5625.54,4953.37,5504.87,5294.31,5169.64,5769.7,5670.87,5927.31,5843.93,5604.65,5981.86,5860.97
"Iowa","Other renewables",3171.98,2711.4,3942.49,3798.26,3425.15,2347.34,1652.35,2277.94,2835.84,3167.83,4217.39,3976.7
"Iowa","Conventional hydroelectric",95.08,79.05,76.05,67.19,91.36,96.2,87.07,75.92,61.71,66.27,83.31,100.87
"Iowa","Utility-scale photovoltaic",7.99,13.42,19.5,21.72,22.29,28.55,26.72,27.47,23.67,12.03,11.74,9.83
"Iowa","All utility-scale solar",7.99,13.42,19.5,21.72,22.29,28.55,26.72,27.47,23.67,12.03,11.74,9.83
"Iowa","All solar",18.99,27.38,40.02,45.25,47.58,54.75,55.11,54.14,47.95,31.39,26.67,22.33
"Iowa","Wind",3148.21,2684.1,3906.35,3760.31,3386.23,2300.94,1608.92,2231.17,2794.2,3138.86,4189.02,3949.97
"Kansas","All fuels",4738.73,4298.53,4984.33,3997.44,4300.53,4816.24,5317.34,5283.01,4855.51,4267.16,4435.62,5336.26
